 ,Area,Mean,Perim.,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
34,396.591,255,86.898,0.660,23.273,2460,767,19.394,22.470,1.011,0.989,0.973
35,433.859,255,93.673,0.621,24.434,205,640,99.765,23.517,1.015,0.985,0.970
36,464.918,255,91.503,0.698,25.290,2736,855,72.207,24.239,1.014,0.987,0.972
37,436.694,255,100.248,0.546,24.825,1591,872,66.326,23.609,1.023,0.977,0.961
38,417.966,255,96.327,0.566,23.907,597,875,71.989,23.072,1.018,0.982,0.970
39,383.671,255,89.679,0.599,23.227,2253,821,29.779,21.752,1.021,0.979,0.962
40,422.043,255,91.394,0.635,24.072,1085,765,174.661,23.313,1.015,0.986,0.971
41,412.698,255,94.551,0.580,23.961,2027,851,5.364,22.971,1.008,0.992,0.969
42,419.246,255,96.282,0.568,24.206,931,741,118.462,23.021,1.014,0.987,0.961
43,392.715,255,87.319,0.647,23.447,2957,944,49.844,22.109,1.020,0.980,0.966
44,444.158,255,103.020,0.526,24.886,346,792,126.767,23.520,1.012,0.988,0.967
45,400.354,255,104.697,0.459,23.802,1834,952,48.434,22.526,1.009,0.991,0.959
46,418.656,255,91.001,0.635,24.205,2532,938,1.856,23.169,1.030,0.971,0.956
47,444.559,255,109.686,0.464,24.662,685,881,151.223,23.992,1.007,0.993,0.963
48,408.959,255,94.764,0.572,23.797,1443,1037,64.641,22.827,1.008,0.992,0.969
49,428.152,255,99.769,0.541,24.215,127,880,127.294,23.381,1.015,0.985,0.967
50,396.503,255,93.410,0.571,23.350,2322,952,168.097,22.533,1.009,0.992,0.971
51,429.632,255,96.775,0.576,24.416,1612,946,163.477,23.483,1.013,0.988,0.966
52,405.083,255,87.647,0.663,23.537,1141,887,98.207,22.703,1.011,0.990,0.978
53,388.538,255,86.718,0.649,23.249,2762,1050,25.084,22.063,1.020,0.980,0.969
54,384.223,255,96.621,0.517,22.998,483,989,154.933,22.342,1.004,0.996,0.964
55,404.218,255,89.512,0.634,23.816,2097,1161,73.610,22.634,1.003,0.997,0.960
56,403.816,255,88.810,0.643,23.477,873,1144,37.635,22.758,1.004,0.996,0.972
